skilldesc	SkillPage	SkillRow	SkillColumn	ListRow	IconCel	HireableIconCel	str name	str short	str long	str alt	descdam	ddam calc1	ddam calc2	p1dmelem	p1dmmin	p1dmmax	p2dmelem	p2dmmin	p2dmmax	p3dmelem	p3dmmin	p3dmmax	descatt	descmissile1	descmissile2	descmissile3	descline1	desctexta1	desctextb1	desccalca1	desccalcb1	descline2	desctexta2	desctextb2	desccalca2	desccalcb2	descline3	desctexta3	desctextb3	desccalca3	desccalcb3	descline4	desctexta4	desctextb4	desccalca4	desccalcb4	descline5	desctexta5	desctextb5	desccalca5	desccalcb5	descline6	desctexta6	desctextb6	desccalca6	desccalcb6	dsc2line1	dsc2texta1	dsc2textb1	dsc2calca1	dsc2calcb1	dsc2line2	dsc2texta2	dsc2textb2	dsc2calca2	dsc2calcb2	dsc2line3	dsc2texta3	dsc2textb3	dsc2calca3	dsc2calcb3	dsc2line4	dsc2texta4	dsc2textb4	dsc2calca4	dsc2calcb4	dsc2line5	dsc2texta5	dsc2textb5	dsc2calca5	dsc2calcb5	dsc3line1	dsc3texta1	dsc3textb1	dsc3calca1	dsc3calcb1	dsc3line2	dsc3texta2	dsc3textb2	dsc3calca2	dsc3calcb2	dsc3line3	dsc3texta3	dsc3textb3	dsc3calca3	dsc3calcb3	dsc3line4	dsc3texta4	dsc3textb4	dsc3calca4	dsc3calcb4	dsc3line5	dsc3texta5	dsc3textb5	dsc3calca5	dsc3calcb5	dsc3line6	dsc3texta6	dsc3textb6	dsc3calca6	dsc3calcb6	dsc3line7	dsc3texta7	dsc3textb7	dsc3calca7	dsc3calcb7	*eol
sthunder storm	2	6	3	2	72		Skillname386	Skillld386	Skillld386	Skillname386	5																36	StrSkill3		usmc	256	36	StrSkillDurationSingular	StrSkill20	len	25	36	thunderstormfrequencysingular	thunderstormfrequency	max(35,100-lvl)	25																74	WeapDamsk		125		74	thunderstrikeconversion		100																	40	Sksyn	Skillname386	2		76	AttRateplev	ccmastery1	par8		18	stormoldgodsdoublehitsynergy				18	stormoldgodsdoubledamagesynergy																			0
sandstorm	3	3	3	3	60		Skillname387	Skillld387	Skillld387	Skillname387	5																36	StrSkill3		usmc	256	75	StrSkill4		pnma	pxma	36	debuffduration		len	25	74	enemyphysicalresist		ast1												18	elementalformrequirement																								40	Sksyn	Skillname387	2		76	Damplev	Skillname236	par8		76	Damplev	elementalform1	par8		76	Damplev	Skillname241	par8		76	Damplev	cataclysm1	par8												0
scharged strike	2	6	2	2	66		Skillname390	chargedclaws23	chargedclaws23	Skillname390	5												1				36	StrSkill3		usmc	256	75	chargedclawsnumberofbolts		clc5	clc4	36	StrSkillRadiusSingular	StrSkill18	rng*2	3	74	StrSkill22		toht		74	phystolightningdesc		min(100,49+lvl)							74	WeapDamsk		50																						40	Sksyn	Skillname390	2		76	AttRateplev	Skillname243	par8		76	seekrangesynergy	Skillname240	20		18	chargedclawsboltssynergy																			0
shadearmor	2	6	1	2	60		Skillname392	Skillld392	Skillld392	Skillname392																	74	bonusphysicalresist		ast2		74	magicresist		ast3		74	StrSkill21		ast1		36	StrSkillDurationSingular	StrSkill20	len	25											36	StrSkill3		usmc	256																					40	Sksyn	Skillname392	2		76	quicknesssynergy	Skillname259	par7		76	elementalresistsynergy	Skillname268	par5		76	poisonresistsynergy	Skillname279	par6																	0
shuriken	1	5	1	1	4		Skillname393	Skillld393	Skillld393	Skillname393	5												1				36	StrSkill3		usmc	256	74	StrSkill22		toht		74	StrSkill11		clc1/clc6		74	legendaryarrowsplits		clc3												74	WeapDamsk		75		36	seekrange	seekrange	rng*2/clc6	3	74	deadlystrikescaling		clc2												40	Sksyn	Skillname393	2		76	AttRateplev	shurikentrap1	par8		18	ricochetdoublerangesynergy																								0
iaigiri	3	2	2	3	64		Skillname394	Skillld394	Skillld394	Skillname394	7	clc1											1				36	StrSkill3		usmc	256	74	StrSkillDamagePercent		clc1		74	buffdefense		ast1		74	buffphysicalresist		ast2												36	buffduration	buffduration	clc2	25																					40	Sksyn	Skillname394	2		76	CurseResistplev	Skillname268	1		76	MagicResistplev	Skillname392	1		76	PoisonLengthplev	Skillname279	2		76	MovSpeedplev	Skillname259	1												0
steeth	1	3	2	1	66		Skillname395	Skillld395	Skillld395	Skillname395	5																36	StrSkill3		usmc	256	36	StrSkillFreezeLengthSingular	StrSkill62	len	25	75	StrSkill6		enma	exma	74	StrSkill28		clc1																																					40	Sksyn	Skillname395	2		76	Colddplev	coldblast1	par8		76	Colddplev	Skillname396	par8		76	Colddplev	Skillname257	par7		76	Colddplev	alltraps	par7												0
scold missiles	1	5	2	1	68		Skillname396	Skillld396	Skillld396	Skillname396	5													cold wave maker			36	StrSkill3		usmc	256	36	StrSkillColdLengthSingular	StrSkill13	edln	25	75	StrSkill6		enma	exma																																									40	Sksyn	Skillname396	2		76	Colddplev	coldblast1	par8		76	Colddplev	Skillname395	par8		76	Colddplev	Skillname257	par7		76	Colddplev	alltraps	par7												0
cold enchant	0	0	0	0	78		coldenchant1	coldenchant3	coldenchant3	coldenchant1																	36	StrSkill3		usmc	256	74	StrSkill22		toht		75	StrSkill6		enma	exma																																																																												0
shuriken trap	1	3	1	1	62		shurikentrap1	shurikentrap3	shurikentrap3	shurikentrap1	5												1				36	StrSkill3		usmc	256	74	StrSkill22		toht		74	shurikennumber		12+lvl/2		36	trapdurationsingular	trapduration	100+lvl*5	25											74	WeapDamsk		65		36	StrSkillCooldownSingular	StrSkillCooldown	clc6	25																40	Sksyn	Skillname393	2		76	AttRateplev	pstream1	par8		18	shurikentraptriplesynergy																								0
unicharmchk	0	0	0	0	0		unicharm	unicharm	unicharm	unicharm																																																																																																											0
meteor shower	1	5	2	1	42		meteorshower1	meteorshower3	meteorshower3	meteorshower1																	36	StrSkill3		usmc	256	36	thunderstormfrequencysingular	thunderstormfrequency	clc5	25	36	StrSkillDurationSingular	StrSkill20	len	25																74	meteorshowermeteordamage		50		74	meteorshowerfireboltdamage		15		74	phystofiredesc		100												40	Sksyn	meteorshower1	2		76	AttRateplev	skillname52	par8		18	meteorshowerpentahitssynergy				18	meteorshowerdelaysynergy																			0
tornado shot	1	4	1	1	48	46	tornadoshot1	tornadoshot3	tornadoshot3	tornadoshot1	7	clc5											1				36	StrSkill3		usmc	256	5	ESkillMiss		clc1		74	StrSkill22		toht		74	flatphysicaldamagebonus		clc6*clc5		74	movementspeed		clc6*ast1							74	WeapDamsk		20		74	phystocolddesc		min(100,skill('Cold Arrow'.blvl)*5)		18	additionalmissilesperlevel				74	StrSkillCooldown		clc2							40	Sksyn	tornadoshot1	2		76	extraprojectilesynergy	Skillname363	20		76	phystocold	skillname11	5		76	AttRateplev	skillname11	par8		18	tornadoshotmaimsynergy														0
crucify	1	2	1	1	30	50	crucify1	crucify3	crucify3	crucify1	5												1				36	StrSkill3		usmc	256	74	crucifyNeedles		18/clc4*8		74	StrSkill22		toht																	74	crucifyNeedleDamage		25		74	phystofiredesc		min(100,skill('Conviction'.blvl)*5)		18	extraneedles														40	Sksyn	crucify1	2		76	AttRateplev	skillname106	par8		76	phystofire	skillname123	5		18	crucifyregensynergy																			0
judgement	1	6	1	1	70	52	judgement1	judgement3	judgement3	judgement1	5												1				36	StrSkill3		usmc	256	74	StrSkill22		toht		74	enemyelementalresist		ast1*clc5																	74	WeapDamsk		100		36	StrSkillCooldownSingular	StrSkillCooldown	clc6	25	74	phystolightningdesc		min(100,skill('Conviction'.blvl)*5)												40	Sksyn	judgement1	2		76	AttRateplev	skillname106	par8		76	phystolightning	skillname123	5		18	judgementelementalpiercesynergy																			0
elemental form	3	1	2	3	36		elementalform1	elementalform3	elementalform3	elementalform1																	36	StrSkill3		usmc	256	36	StrSkillDurationSingular	StrSkill20	len	25	36	elementalformcyclonesynergy	elementalformcyclonesynergy	par7*lvl	25	74	allresistskill		ast1		74	fcrskill		ast5		74	StrSkill88		ast6																																																														0
frozen blast	3	2	1	3	68		frozenblast1	frozenblast3	frozenblast3	frozenblast1	8																36	StrSkill3		usmc	256	36	StrSkillColdLengthSingular	StrSkill13	edln	25	75	averagecolddamage		enms*12/256	exms*12/256																18	iceexplosiondam																								40	Sksyn	frozenblast1	2		76	Colddplev	elementalform1	par8		76	Colddplev	Skillname236	par8		76	Colddplev	Skillname251	par8		76	Colddplev	whirlpool1	par8		76	Colddplev	monsoon1	par8							0
cataclysm	3	5	3	3	50		cataclysm1	cataclysm3	cataclysm3	cataclysm1	5																36	StrSkill3		usmc	256	75	StrSkill4		pnma	pxma																					36	StrSkillCooldownSingular	StrSkillCooldown	clc6	25																					40	Sksyn	cataclysm1	2		76	Damplev	Skillname236	par8		76	Damplev	elementalform1	par8		76	Damplev	Skillname241	par8		76	Damplev	Skillname387	par8												0
flameburst	3	2	2	3	34		flameburst1	flameburst3	flameburst3	flameburst1	9													moltenboulderfirepath			36	StrSkill3		usmc	256	75	StrSkillFireDamageAveragePerSecond		enms*25*3/256	exms*25*3/256																																														40	Sksyn	flameburst1	2		76	Firedplev	Skillname245	par8		76	Firedplev	Skillname226	par8		76	Firedplev	elementalform1	par8		76	Firedplev	Skillname236	par8												0
monsoon	3	6	1	3	46		monsoon1	monsoon3	monsoon3	monsoon1	5																36	StrSkill3		usmc	256	36	coldandfreezelength	coldandfreezelength	edln	25	75	StrSkill6		enma	exma																36	StrSkillCooldownSingular	StrSkillCooldown	clc6	25																					40	Sksyn	monsoon1	2		76	Colddplev	elementalform1	par8		76	Colddplev	Skillname236	par8		76	Colddplev	frozenblast1	par8		76	Colddplev	Skillname251	par8		76	Colddplev	whirlpool1	par8							0
find rejuvenation	3	5	3	3	10		findrejuv1	findrejuv3	findrejuv3	findrejuv1																	74	StrSkill24		min(100,ln12)																											36	StrSkill3		usmc	256																																																								0
power of athulua	2	1	2	2	68		powerofathulua1	powerofathulua3	powerofathulua3	powerofathulua1																	74	strModAllAttributesPercent		pst1																											74	selfsynergyeffect		3																																																									0
wisdom of athulua	2	4	2	2	66		wisdomofathulua1	wisdomofathulua3	wisdomofathulua3	wisdomofathulua1																	75	wisdomcastspeedtotal		clc1	(10875/(14+lvl)+275)	75	wisdomhitspeedtotal		clc1	(10875/(14+lvl)+275)	75	wisdomrunspeedtotal		clc1	(10875/(14+lvl)+275)	75	wisdomattackspeedtotal		clc1	(10875/(14+lvl)+275)											74	selfsynergyeffect		3		18	wisodmofathuluaequip																			74	wisdomcastspeedcurrent		pst4		74	wisdomhitspeedcurrent		pst3		74	wisdomrunspeedcurrent		pst1		74	wisdomattackspeedcurrent		pst5																	0
splintering javelin	3	1	3	3	8		splinteringjavelin1	splinteringjavelin3	splinteringjavelin3	splinteringjavelin1	7	clc5											1				36	StrSkill3		usmc	256	74	StrSkillDamagePercent		ast1		74	StrSkill22		toht		74	numberofsplinters		20/(clc4+clc6)												74	WeapDamsk		25		74	phystofiredesc		min(100,skill('Inferno Fury'.blvl)*5)		18	additionalsplinters														40	Sksyn	splinteringjavelin1	2		76	Damplev	spearstorm1	par8		76	AttRateplev	skillname30	par8		76	phystofire	firestrike1	5		18	splinteringjavelinbonusmissiles														0
spearstorm	3	1	2	3	26	5	spearstorm1	spearstorm3	spearstorm3	spearstorm1	5												1				36	StrSkill3		usmc	256	74	StrSkill22		toht		74	spearstormshards		40/clc4		74	buffphysicaldamage		ast1												74	WeapDamsk		25		18	spearorjavelinrequirement				75	extrashardsdesc		clc5	clc6	74	phystolightningdesc		min(100,skill('Lightning Strike'.blvl)*5)							40	Sksyn	spearstorm1	2		76	phystolightning	maelstromcascade1	5		76	Damplev	Skillname364	par8		76	AttRateplev	skillname30	par8		18	spearstormdurationsynergy														0
inferno fury	3	3	2	3	16		firestrike1	firestrike3	firestrike3	firestrike1	5												1				36	StrSkill3		usmc	256	74	StrSkill22		toht		74	infernofuryfirebolts		clc1		74	phystofiredesc		min(100,49+lvl)												18	infernofuryfireballs				74	WeapDamsk		25																	40	Sksyn	firestrike1	2		76	fireboltsperlevel	shadowstrike1	5		76	AttRateplev	maelstromcascade1	par8		18	infernofuryfrequencysynergy																			0
hailstorm	3	5	2	3	36		shadowstrike1	shadowstrike3	shadowstrike3	shadowstrike1	7	clc5											1				36	StrSkill3		usmc	256	36	StrSkillColdLengthSingular	StrSkill13	edln	25	36	StrSkillRadiusSingular	StrSkill18	rng*2	3	74	StrSkill22		toht		74	shardnumber		clc3		74	phystocolddesc		min(100,49+lvl)		74	WeapDamsk		50																						40	Sksyn	shadowstrike1	2		76	iceshardsperlevel	firestrike1	5		76	AttRateplev	maelstromcascade1	par8		18	hailstormaoesynergy																			0
pyre javelin	3	2	3	3	18		pyrejavelin1	pyrejavelin3	pyrejavelin3	pyrejavelin1	22																36	StrSkill3		usmc	256	75	StrSkill5		enma	exma	36	StrSkillRadiusSingular	StrSkill18	min(33,(18+lvl/3))	3																																									40	Sksyn	pyrejavelin1	2		76	Firedplev	splinteringjavelin1	par8		76	Firedplev	skillname25	par8		76	Firedplev	frostjavelin1	par8		76	Firedplev	skillname35	par8												0
frost javelin	3	5	3	3	28		frostjavelin1	frostjavelin3	frostjavelin3	frostjavelin1	22																36	StrSkill3		usmc	256	36	StrSkillFreezeLengthSingular	StrSkill29	edln	25	75	StrSkill6		enma	exma	36	StrSkillRadiusSingular	StrSkill18	rng*2	3																																				40	Sksyn	frostjavelin1	2		76	Colddplev	splinteringjavelin1	par8		76	Colddplev	skillname25	par8		76	Colddplev	pyrejavelin1	par8		76	Colddplev	skillname35	par8												0
blade nova	3	6	2	3	18		bladenova1	bladenova3	bladenova3	bladenova1	5												1				36	StrSkill3		usmc	256	74	StrSkill22		toht		74	bonusphysicalresist		ast1		36	StrSkillDurationSingular	StrSkill20	clc2	25	74	phystofiredesc		clc3							36	StrSkillCooldownSingular	StrSkillCooldown	clc6	25	74	WeapDamsk		25		74	allmaxres		ast3		74	totaldefensebonusdesc		ast2							40	Sksyn	bladenova1	2		76	TotalArmorplevhalf	Skillname271	1		76	PhysicalResistplevhalf	Skillname394	1		76	MaxResplevfifth	Skillname256	1		76	AttRateplev	dblade1	par8		18	bladenovadoublesynergy				18	bladenovacooldownsynergy				0
dragon fury	3	4	1	3	46		dragonfury1	dragonfury23	dragonfury23	dragonfury1	19												2				74	StrSkill22		toht		75	dragonfurycharge3		12+6*(lvl/6)	25	75	dragonfurycharge2		clc1	2+lvl/10	36	dragonfurycharge1	dragonfurycharge1	edln	25											36	StrSkill3		usmc	256	36	StrSkillDurationSingular	StrSkill20	len	25	74	phystolightningdesc		skill('Claws of Thunder'.blvl)*5												40	Sksyn	dragonfury1	2		76	AttRateplev	execute1	par8		76	phystolightning	Skillname270	5		18	dragonfurystunsynergy				18	dragonfuryflurrysynergy														0
execute	3	5	1	3	54		execute1	dragonfury23	dragonfury23	execute1	19												2				74	StrSkill22		toht		75	executecharge3		8+lvl/2	25	74	executecharge2		25		75	executecharge1		clc1	50											36	StrSkill3		usmc	256	36	StrSkillDurationSingular	StrSkill20	len	25	74	phystocolddesc		skill('Blades of Ice'.blvl)*5												40	Sksyn	execute1	2		76	AttRateplev	dragonfury1	par8		76	phystocold	Skillname275	5		18	executehealsynergy				18	executenovasynergy														0
freezing claws	2	5	2	2	62		freezingclaws1	freezingclaws3	freezingclaws3	freezingclaws1	5												1				36	StrSkill3		usmc	256	74	StrSkill11		clc1/clc6		36	StrSkillFreezeLengthSingular	StrSkill62	edln	25	74	StrSkill22		toht		74	phystocolddesc		min(100,49+lvl)							74	WeapDamsk		50																						40	Sksyn	freezingclaws1	2		76	AttRateplev	Skillname243	par8		76	FrezLenplev	Skillname390	par7		18	freezingclawsdoublehitssynergy																			0
elemental fury	3	6	3	3	18		elementalfury1	elementalfury3	elementalfury3	elementalfury1																	36	flatmanarecoveryrate	flatmanarecoveryrate	ast4	25	74	StrSkill88		ast3		74	fcrskill		ast5		74	elementalfurypierce		clc1		74	physicaldamage		clc2							18	exclusiveskill																																																											0
axe swarm	1	1	2	1	14		axeswarm1	axeswarm3	axeswarm3	axeswarm1	5												1				36	StrSkill3		usmc	256	74	StrSkill22		toht		74	axeswarmaxes		8+(lvl/clc4)*8		36	seekrange	seekrange	rng*2	3											74	WeapDamsk		30																						40	Sksyn	axeswarm1	2		76	AttRateplev	skillname147	par8		76	crushingblowperlevel	strenght1	par7		76	axeswarmlifeonstrikingsynergy	vigor1	1		18	axeswarmaxessynergy														0
ferocious bite	1	2	2	5	2		ferociousbite1	ferociousbite3	ferociousbite3	ferociousbite1																	75	StrSkill4		pnma	pxma																										74	hitsandtargets		clc1		18	hitsandtargetslevel				18	minionskillscaling														40	Sksyn	ferociousbite1	2		76	Damplev	Skillname238	par8		76	Damplev	Skillname248	par8		18	feralmastery1																			0
twin fangs	1	2	1	5	16		twinfangs1	twinfangs3	twinfangs3	twinfangs1														twinfangsfirebolt	twinfangscoldbolt		36	StrSkillColdLengthSingular	StrSkill13	edln	25	75	StrSkill6		m2en	m2ex	75	StrSkill5		m1en	m1ex																74	hitsandtargets		clc1		18	hitsandtargetslevel				18	minionskillscaling														40	Sksyn	twinfangs1	2		76	Damplev	Skillname228	par8		76	Damplev	contagion1	par8		18	feralmastery1																			0
thunderclaws	1	3	3	5	8		thunderclaw1	thunderclaw3	thunderclaw3	thunderclaw1	5													verruption center			75	StrSkill7		enma	exma																										74	hitsandtargets		clc1		18	hitsandtargetslevel				18	minionskillscaling														40	Sksyn	thunderclaw1	2		76	Ltngdplev	Skillname222	par8		76	Ltngdplev	Skillname248	par8		18	feralmastery1																			0
spirit of nature	1	4	2	1	10		spiritofnature1	spiritofnature3	spiritofnature3	spiritofnature1																	36	StrSkillRadiusSingular	StrSkill18	ln78*2	3	74	StrSkill100		10+lvl*2		74	StrSkill22		ln56		74	StrSkillDamagePercent		ln56		74	StrSkill106		5+lvl/2		74	StrSkill89		5+lvl/2		36	StrSkill3		usmc	256	74	StrSkill54		ast1		74	StrSkillDefense		clc3		13	StrSkill42		clc1																																										0
feral mastery	1	5	3	1	14		feralmastery1	feralmastery3	feralmastery3	feralmastery1	5																74	feralmasterycrushingblow		lvl/2		74	feralmasterydamage		lvl*2		74	feralmasteryardefense		lvl*5		74	feralmasterycontagion		lvl*10		74	feralmasterymaxhits		lvl/20		74	feralmasterylife		lvl*10		18	feralmasterymaxhitsdesc																																																											0
call of the wild	1	6	1	1	4		callofthewild1	callofthewild3	callofthewild3	callofthewild1																	36	StrSkill3		usmc	256	36	StrSkillCooldownSingular	StrSkillCooldown	clc6	25	74	StrSkill89		ast1		74	lifereplenish		ast2		74	StrSkill21		ast3							36	StrSkillDurationSingular	StrSkill20	75	25																																																								0
contagion	1	4	1	5	64		contagion1	contagion3	contagion3	contagion1																	36	StrSkillPoisonLengthSingular	StrSkill63	edln	25	75	poisondamagepersecond		enms*25/256	exms*25/256																					18	minionskillscaling																								40	Sksyn	contagion1	2		76	Poisdplev	Skillname228	par8		76	Poisdplev	twinfangs1	par8		18	feralmastery1																			0
whirlpool	3	5	1	3	38		whirlpool1	whirlpool3	whirlpool3	whirlpool1	8													erruption center			36	StrSkill3		usmc	256	36	StrSkillFreezeLengthSingular	StrSkill62	edln	25	75	averagecolddamage		enms*12/256	exms*12/256	36	debuffduration	debuffduration	len	25	74	StrSkill223		ast1							18	elementalformrequirement																								40	Sksyn	whirlpool1	2		76	Colddplev	elementalform1	par8		76	Colddplev	Skillname236	par8		76	Colddplev	frozenblast1	par8		76	Colddplev	Skillname251	par8		76	Colddplev	monsoon1	par8							0
undead frenzy	3	6	2	3	66		undeadfrenzy1	undeadfrenzy3	undeadfrenzy3	undeadfrenzy1																	36	StrSkill3		usmc	256	36	StrSkillCooldownSingular	StrSkillCooldown	clc6	25	74	StrSkill89		ast1		74	physicaldamage		ast2		74	elementaldamage		ast3							36	StrSkillDurationSingular	StrSkill20	75	25																																																								0
arrow hit skill	1	2	1	1	12		arrow1	arrow1	arrow1	arrow1																																																																																																											0
poison mastery passive	3	6	2	3	58		poisonmasterypassive1	poisonmasterypassive1	poisonmasterypassive1	poisonmasterypassive1																	74	StrSkillPoisonDamagePercent		pst1																																																																																							0
spikenovaproc	1	5	1	1	70		spikenovaproc1	spikenovaproc1	spikenovaproc1	spikenovaproc1	5																																																																																																										0
axeproc	1	5	1	1	70		axeproc1	axeproc1	axeproc1	axeproc1	5																																																																																																										0
eagle eye	2	5	2	2	60		Skillname362	Skillld362	Skillld362	Skillname362																	36	StrSkill3		usmc	256	36	StrSkillDurationSingular	StrSkill20	len	25	74	StrSkill106		ast1		74	StrSkill154		ast3		74	StrSkillDamagePercent		ast2																																40	Sksyn	Skillname362	2		76	attackspeedsynergy	skillname23	2																											0
stampede	1	4	1	1	64		stampede1	stampede3	stampede3	stampede1	5												1				36	StrSkill3		usmc	256	74	StrSkill22		toht		74	StrSkillDamagePercent		ast1		74	magicalbolts		clc1		74	phystomagicdesc		min(100,49+lvl)							74	WeapDamsk		40																						40	Sksyn	stampede1	2		76	Damplev	strenght1	par8		76	AttRateplev	Skillname384	par8		76	mainaxesynergy	skillname135	1																	0
fire enhanced arrow	1	5	1	1	70		fireenhancedarrow1	fireenhancedarrow1	fireenhancedarrow1	fireenhancedarrow1	5																																																																																																										0
cold enhanced arrow	1	5	1	1	70		coldenhancedarrow1	coldenhancedarrow1	coldenhancedarrow1	coldenhancedarrow1	5																																																																																																										0
lightning enhanced arrow	1	5	1	1	70		lightningenhancedarrow1	lightningenhancedarrow1	lightningenhancedarrow1	lightningenhancedarrow1	5																																																																																																										0
magic enhanced arrow	1	5	1	1	70		magicenhancedarrow1	magicenhancedarrow1	magicenhancedarrow1	magicenhancedarrow1	5																																																																																																										0
fire enhanced axe	1	5	1	1	70		fireenhancedaxe1	fireenhancedaxe1	fireenhancedaxe1	fireenhancedaxe1	5																																																																																																										0
cold enhanced axe	1	5	1	1	70		coldenhancedaxe1	coldenhancedaxe1	coldenhancedaxe1	coldenhancedaxe1	5																																																																																																										0
lightning enhanced axe	1	5	1	1	70		lightningenhancedaxe1	lightningenhancedaxe1	lightningenhancedaxe1	lightningenhancedaxe1	5																																																																																																										0
poison enhanced axe	1	5	1	1	70		poisonenhancedaxe1	poisonenhancedaxe1	poisonenhancedaxe1	poisonenhancedaxe1	5																																																																																																										0
magic enhanced axe	1	5	1	1	70		magicenhancedaxe1	magicenhancedaxe1	magicenhancedaxe1	magicenhancedaxe1	5																																																																																																										0
blizzard cannon	3	1	2	3	6		blizzardcannon1	blizzardcannon1	blizzardcannon1	blizzardcannon1	5																																																																																																										0
mjolnir chaos lightning	3	1	2	3	6		mjolnirchaoslightning1	mjolnirchaoslightning1	mjolnirchaoslightning1	mjolnirchaoslightning1	5																																																																																																										0
headhunter speed	3	1	2	3	6		hhspeed1	hhspeed1	hhspeed1	hhspeed1																																																																																																											0
headhunter physical damage	3	1	2	3	6		hhphysdamage1	hhphysdamage1	hhphysdamage1	hhphysdamage1																																																																																																											0
headhunter elemental damage	3	1	2	3	6		hhelemdamage1	hhelemdamage1	hhelemdamage1	hhelemdamage1																																																																																																											0
headhunter health	3	1	2	3	6		hhhealth1	hhhealth1	hhhealth1	hhhealth1																																																																																																											0
headhunter resistances	3	1	2	3	6		hhres1	hhres1	hhres1	hhres1																																																																																																											0
headhunter stats	3	1	2	3	6		hhstats1	hhstats1	hhstats1	hhstats1																																																																																																											0
headhunter skills	3	1	2	3	6		hhskills1	hhskills1	hhskills1	hhskills1																																																																																																											0
monkey king leap	3	3	3	3	62		mkb1	mkb2	mkb2	mkb1	5												1				36	StrSkill3		usmc	256	74	StrSkill22		toht																						74	WeapDamsk		150		74	StrSkill18		20		36	StrSkillCooldownSingular	StrSkillCooldown	clc6	25																																														0
monkey king slam	3	3	3	3	62		mkslam1	mkslam1	mkslam1	mkslam1																																																																																																											0
blink strike	3	3	3	3	42		blinkstrike1	blinkstrike2	blinkstrike2	blinkstrike1	5												1				36	StrSkill3		usmc	256	74	StrSkill22		toht		74	StrSkill11		9/clc4+1																	74	WeapDamsk		100		74	StrSkill18		5		74	furyenemieshit		5																																															0
starfall	3	3	3	3	56		starfall1	starfall2	starfall2	starfall1	5																36	StrSkill3		usmc	256	75	StrSkill39		enma	exma	74	starfallwaves		12/clc4		74	enemymagicresist		ast1												74	StrSkill18		5		36	StrSkillCooldownSingular	StrSkillCooldown	clc6	25																																																			0
eternal winter	3	3	3	3	34		eternalwinter1	eternalwinter1	eternalwinter1	eternalwinter1																																																																																																											0
permafrost storm	3	3	3	3	54		permafroststorm1	permafroststorm2	permafroststorm2	permafroststorm1	5												1				36	StrSkill3		usmc	256	74	StrSkill22		toht		74	permafrostbranch		8/clc4																	74	WeapDamsk		50																																																									0
empowered enchant fire	1	2	2	1	76		empoweredenchant1	empenchantfire2	empenchantfire2	empoweredenchant1																	75	StrSkill5		ast1	ast2																										36	StrSkill3		usmc	256	36	StrSkillDurationSingular	StrSkill20	len	25																																																			0
empowered enchant cold	1	2	2	1	76		empoweredenchant1	empenchantcold2	empenchantcold2	empoweredenchant1																	36	StrSkillColdLengthSingular	StrSkill13	edln	25	75	StrSkill6		ast1	ast2																					36	StrSkill3		usmc	256	36	StrSkillDurationSingular	StrSkill20	len	25																																																			0
empowered enchant lightning	1	2	2	1	76		empoweredenchant1	empenchantlightning2	empenchantlightning2	empoweredenchant1																	75	StrSkill7		ast1	ast2																										36	StrSkill3		usmc	256	36	StrSkillDurationSingular	StrSkill20	len	25																																																			0
empowered enchant poison	1	2	2	1	76		empoweredenchant1	empenchantpoison2	empenchantpoison2	empoweredenchant1																	36	StrSkillPoisonLengthSingular	StrSkill63	edln	25	75	StrSkill8		ast1	ast2																					36	StrSkill3		usmc	256	36	StrSkillDurationSingular	StrSkill20	len	25																																																			0
empowered enchant magic	1	2	2	1	76		empoweredenchant1	empenchantmagic2	empenchantmagic2	empoweredenchant1																	75	StrSkill39		ast1	ast2																										36	StrSkill3		usmc	256	36	StrSkillDurationSingular	StrSkill20	len	25																																																			0
empowered enchant physical	1	2	2	1	76		empoweredenchant1	empenchantphysical2	empenchantphysical2	empoweredenchant1																	75	StrSkill4		ast1	ast2																										36	StrSkill3		usmc	256	36	StrSkillDurationSingular	StrSkill20	len	25																																																			0
bone mastery	2	6	3	2	24		bonemastery1	bonemastery23	bonemastery23	bonemastery1																	74	bonemasterymagicdamage		lvl		75	bonemasterysoul		enma	exma	74	boneprisontotallife		lvl*par7																																										40	Sksyn	bonemastery1	2		76	Magdplev	skillname68	par8		76	Magdplev	bonewave1	par8		76	Magdplev	skillname88	par8		76	Magdplev	skillname74	par8												0
crossbow passive	2	5	3	2	24		crossbowpassive1	crossbowpassive1	crossbowpassive1	crossbowpassive1																																																																																																											0
sacrificial offering	3	6	1	3	40		SacrificialOffering	sacrificialoffering3	sacrificialoffering3	SacrificialOffering																	36	StrSkill3		usmc	256	74	sacrificialofferingcorpses		14/clc4		36	StrSkillCooldownSingular	StrSkillCooldown	clc6	25																																																																												0
buckshot	3	3	3	3	56		buckshot1	buckshot23	buckshot23	buckshot1	5												1				36	StrSkill3		usmc	256	74	StrSkill27		clc1		74	StrSkill22		toht																	74	WeapDamsk		50																																																									0
fire enhanced fury	2	6	1	2	30		fireenhancedfury1	fireenhancedfury1	fireenhancedfury1	fireenhancedfury1	5												2				36	StrSkill3		usmc	256	74	StrSkill22		toht		74	StrSkill11		clc1																	74	furyenemieshit		5		74	WeapDamsk		75		74	additionalhitsperleveldesc		15												40	Sksyn	Skillname249	2		76	extrahitsynergy	Skillname233	20		76	extrahitsynergy	Skillname243	20																						0
spike nova fire	1	5	1	1	70		spikenovafire1	spikenovafire1	spikenovafire1	spikenovafire1	5																																																																																																										0
spike nova poison	1	5	1	1	70		spikenovapoison1	spikenovapoison1	spikenovapoison1	spikenovapoison1	5																																																																																																										0
