index	*ID	version	enabled	*Skip Generation	ladder	rarity	nolimit	lvl	lvl req	code	*ItemName	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	diablocloneweight	*eol
Rathma Eternal Skull	1123	100	1	1		1	1	100	90	cm1	charm		12	100000				rathmaskull	item_monsterbone		item_monsterbone	gethit-skill	Time Lapse	1	25	allskills		1	1	curse-res		20	30	oskill	Undead Frenzy	3	3	skill	Undead Frenzy	17	17																														0
Orpheus Pillar of Hope	1124	100	1	1		1	1	100	90	m36	Mythical Mage Staff		12	100000				orpheuspillar				tinkerflag2		25	35	gethit-skill	Time Lapse	1	50	allskills		0	8	item-skill-cooldown		0	30	oskill	Poison Mastery Passive	5	10	red-dmg		50	50	red-mag		50	50	hp%		30	50	oskill	Travel to the Underworld	10	20	aura-hidden	Orpheus Aura	1	1	kill-skill	Underworld Empowerment	50	1	mythicaldescnoflag	1082	1	1		0
Tsukuyomi Dying Light	1125	100	1	1		3	1	100	90	m37	Mythical Katana		12	100000				tiesthatbind				tinkerflag2		25	35	oskill	Shadow Descent	10	20	att-skill	Execute Discharge	50	1	dmg-max		100	125	dmg%		200	300	dmg%/lvl	16			deadly		30	50	aura-hidden	Quintuple Damage Aura	1	1	skill	Cobra Strike	20	30	res-mag		10	20	reduce-ac		25	75	mythicaldescnoflag	1083	1	1		0
The Ties That Bind Fire	1126	100		1		1	1	100	90	mrn	Mythical Ring		12	100000				tiesthatbind				extra-fire		20	20	res-fire		40	40	dmg-fire		400	600	item-skill-cooldown		15	15	hp%		30	30	aura-hidden	Ties That Bind Fire	1	1	mythicaldescnoflag	1084	1	1	oskill-hidden	Ties That Bind Fire Passive	1	1																		0
The Ties That Bind Cold	1127	100		1		1	1	100	90	mrn	Mythical Ring		12	100000				tiesthatbind				extra-cold		20	20	res-cold		40	40	dmg-cold	250	400	600	regen		750	750	regen-mana		100	100	crush		40	40	aura-hidden	Ties That Bind Cold	1	1	mythicaldescnoflag	1084	1	1	oskill-hidden	Ties That Bind Cold Passive	1	1														0
The Ties That Bind Lightning	1128	100		1		1	1	100	90	mrn	Mythical Ring		12	100000				tiesthatbind				extra-ltng		20	20	res-ltng		40	40	dmg-ltng		1	1000	all-speeds		20	20	deadly		40	40	aura-hidden	Ties That Bind Lightning	1	1	mythicaldescnoflag	1084	1	1	oskill-hidden	Ties That Bind Lightning Passive	1	1																		0
The Ties That Bind Poison	1129	100		1		1	1	100	90	mrn	Mythical Ring		12	100000				tiesthatbind				extra-pois		20	20	res-pois		40	40	dmg-pois	25	20480	20480	heal-kill		80	80	mana-kill		40	40	slow		20	20	aura-hidden	Ties That Bind Poison	1	1	mythicaldescnoflag	1084	1	1	oskill-hidden	Ties That Bind Poison Passive	1	1														0
The Ties That Bind Magic	1130	100		1		1	1	100	90	mrn	Mythical Ring		12	100000				tiesthatbind				extra-mag2		20	20	res-mag		10	10	dmg-mag		400	600	red-mag		50	50	all-stats-percent		15	15	aura-hidden	Ties That Bind Magic	1	1	mythicaldescnoflag	1084	1	1	oskill-hidden	Ties That Bind Magic Passive	1	1																		0
The Ties That Bind Wind	1131	100		1		1	1	100	90	mrn	Mythical Ring		12	100000				tiesthatbind				extra-wind		20	20	red-dmg%		10	10	dmg-norm		30	50	red-dmg		50	50	pierce		50	50	aura-hidden	Ties That Bind Physical	1	1	mythicaldescnoflag	1084	1	1	oskill-hidden	Ties That Bind Physical Passive	1	1																		0
The Ties That Bind Summon	1132	100		1		1	1	100	90	mrn	Mythical Ring		12	100000				tiesthatbind				extra-summ		15	15	passive-summ-phys-resist		10	10	passive-summ-life		20	20	curse-res		30	30	mana%		30	30	aura-hidden	Ties That Bind Summon	1	1	mythicaldescnoflag	1084	1	1	oskill-hidden	Ties That Bind Summon Passive	1	1																		0
Void Crescent	1133	100	1	1		3	1	100	90	m38	Mythical Arreat's Hatchet		12	100000				voidcrescent				tinkerflag2		25	35	noconsume		100	100	hit-skill	Spectral Maim	100	1	swing2		40	50	dmg-norm		150	200	dmg%		300	400	curse-res		40	50	lifesteal		20	30	att%		150	200	hit-skill	Axe Proc	8	30	hit-skill	Magic Enhanced Axe	8	30	mythicaldescnoflag	1090	1	1		0
Hellfire Torch New	1134	100	1	1		1	1	130	85	cm2	charm		3	5000			flptrch	invtrch	item_gem	12	item_gem	randclassskill		0	6	all-stats		20	30	res-all		20	30	light		10	10	all-stats-percent		10	20																														0
Quick Death	1135	100	1			1	1	9	7	srk	Shuriken		12	15000								tinkerflag2		25	35	deadly		100	100	dmg-min		15	25	move2		30	40	swing2		30	40	skill	Shuriken	3	6	oskill	Shuriken	1	3	kill-skill	Warm Up	17	10	has-shuriken		1	1														0
Sunset of the Eastern Sun	1136	100	1			1	1	40	49	fsk	Fuma Shuriken		12	25000								tinkerflag2		25	35	hit-skill	Fire Trauma	1	30	kill-skill	Cold Surge	17	35	pierce-cold		10	20	dmg-cold	150	500	600	dex		50	75	enr		50	75	oskill	Ice Blink	5	10	dmg%		100	150	has-shuriken		1	1										0
Death Game	1137	100	1			1	1	60	73	kgk	Kagekiri		12	50000								tinkerflag2		25	35	hit-skill	Wind Brand	40	1	swing2		20	30	dmg-max		50	200	dmg%/lvl	16			att%		80	100	reduce-ac		25	50	heal-kill		80	100	oskill	Bone Armor	10	20	dmg%		200	250	ease		100	100	has-shuriken		1	1		0
Baal's Vile Whisper Shuriken	1138	100	1	1		3	1	100	90	m39	Mythical Kagekiri		12	50000				baalwhisper				tinkerflag2		25	35	noconsume		100	100	hit-skill	Mythical Decrepify	1	60	hit-skill	STeeth	2	60	hit-skill	Fire Trauma	4	60	aura-hidden	Baal Vile Whisper Shuriken Passive	1	1	dmg-cold	500	2000	3000	dexpercent		30	50	dmg-norm		150	250	deadly		150	150	has-shuriken		1	1	mythicaldescnoflag	1109	1	1		0
Orpheus Pillar of Hope	1139	100	1	1		1	1	100	90	m36	Mythical Mage Staff		12	100000				orpheuspillar				tinkerflag2		25	35	gethit-skill	Time Lapse	1	50	allskills		0	8	item-skill-cooldown		0	30	oskill	Magic Mastery	5	10	red-dmg		50	50	red-mag		50	50	hp%		30	50	oskill	Travel to the Underworld	10	20	aura-hidden	Orpheus Aura	1	1	kill-skill	Underworld Empowerment	50	1	mythicaldescnoflag	1082	1	1		0
Orpheus Pillar of Hope	1140	100	1	1		1	1	100	90	m36	Mythical Mage Staff		12	100000				orpheuspillar				tinkerflag2		25	35	gethit-skill	Time Lapse	1	50	allskills		0	8	item-skill-cooldown		0	30	oskill	Wind Mastery	5	10	red-dmg		50	50	red-mag		50	50	hp%		30	50	oskill	Travel to the Underworld	10	20	aura-hidden	Orpheus Aura	1	1	kill-skill	Underworld Empowerment	50	1	mythicaldescnoflag	1082	1	1		0
Tathamet's Awakening	1141	100	1	1		1	1	100	90	m20	Mythical Diadem		12	100000				tathamet				tinkerflag2		25	35	oskill-hidden	Tathamet Awakening Passive	1	1	coldskill		3	5	pierce-cold		20	30	oskill	Cold Mastery	1	1	item-skill-cooldown		15	20	abs-cold%		8	10	regen-mana%		200	300	nofreeze		1	1	oskill	Immolation	3	3	sock		0	2	mythicaldescnoflag	1103	1	1		0
Tathamet's Awakening	1142	100	1	1		1	1	100	90	m20	Mythical Diadem		12	100000				tathamet				tinkerflag2		25	35	oskill-hidden	Tathamet Awakening Passive	1	1	lightningskill		3	5	pierce-ltng		20	30	oskill	Lightning Mastery	1	1	mana%		30	50	abs-ltng%		8	10	res-all		40	60	dodge		5	10	oskill	Immolation	3	3	sock		0	2	mythicaldescnoflag	1103	1	1		0
Vorador's Essence	1143	100	1			3	1	60	60	nrn	Ring		12	40000	dgrn	dgrn						nec		2	2	red-dmg%		10	15	extra-summ		10	20	skill	Golem Mastery	1	15	skill	Skeleton Mastery	1	15	skill	Summon Resist	1	15	move3		20	20	ac%		50	100	cast2		20	20	mana%		20	20	oskill	Poison Mastery Passive	1	1	hp%		20	20		0
Ember of Creation	1144	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Magic Arrow	1	1	levelreq		20	20																																										0
Ember of Creation	1145	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Critical Strike	1	1	levelreq		20	20																																										0
Ember of Creation	1146	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Splintering Javelin	1	1	levelreq		20	20																																										0
Ember of Creation	1147	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Fire Arrow	1	1	levelreq		20	20																																										0
Ember of Creation	1148	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Spearstorm	1	1	levelreq		20	20																																										0
Ember of Creation	1149	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Evade	1	1	levelreq		20	20																																										0
Ember of Creation	1150	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Power of Athulua	1	1	levelreq		20	20																																										0
Ember of Creation	1151	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Inner Sight	1	1	levelreq		20	20																																										0
Ember of Creation	1152	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Multiple Shot	1	1	levelreq		20	20																																										0
Ember of Creation	1153	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Pyre Javelin	1	1	levelreq		20	20																																										0
Ember of Creation	1154	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Avoid	1	1	levelreq		20	20																																										0
Ember of Creation	1155	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Immolation Arrow	1	1	levelreq		20	20																																										0
Ember of Creation	1156	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Fend	1	1	levelreq		20	20																																										0
Ember of Creation	1157	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Dodge	1	1	levelreq		20	20																																										0
Ember of Creation	1158	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Cold Arrow	1	1	levelreq		20	20																																										0
Ember of Creation	1159	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Sharpened Focus	1	1	levelreq		20	20																																										0
Ember of Creation	1160	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Inferno Fury	1	1	levelreq		20	20																																										0
Ember of Creation	1161	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Plague Javelin	1	1	levelreq		20	20																																										0
Ember of Creation	1162	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Wisdom of Athulua	1	1	levelreq		20	20																																										0
Ember of Creation	1163	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Tornado Shot	1	1	levelreq		20	20																																										0
Ember of Creation	1164	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Penetrate	1	1	levelreq		20	20																																										0
Ember of Creation	1165	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Freezing Arrow	1	1	levelreq		20	20																																										0
Ember of Creation	1166	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Valkyrie	1	1	levelreq		20	20																																										0
Ember of Creation	1167	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Frost Javelin	1	1	levelreq		20	20																																										0
Ember of Creation	1168	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Hailstorm	1	1	levelreq		20	20																																										0
Ember of Creation	1169	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Exploding Arrow	1	1	levelreq		20	20																																										0
Ember of Creation	1170	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Legendary Arrow	1	1	levelreq		20	20																																										0
Ember of Creation	1171	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Eagle Eye	1	1	levelreq		20	20																																										0
Ember of Creation	1172	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Dance of Death	1	1	levelreq		20	20																																										0
Ember of Creation	1173	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Ice Arrow	1	1	levelreq		20	20																																										0
Ember of Creation	1174	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Strafe	1	1	levelreq		20	20																																										0
Ember of Creation	1175	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Valkyrie Mastery	1	1	levelreq		20	20																																										0
Ember of Creation	1176	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Pierce	1	1	levelreq		20	20																																										0
Ember of Creation	1177	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Maelstrom Cascade	1	1	levelreq		20	20																																										0
Ember of Creation	1178	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Lightning Fury	1	1	levelreq		20	20																																										0
Ember of Creation	1179	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Fire Bolt	1	1	levelreq		20	20																																										0
Ember of Creation	1180	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Raging Gale	1	1	levelreq		20	20																																										0
Ember of Creation	1181	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Scorch	1	1	levelreq		20	20																																										0
Ember of Creation	1182	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Ice Bolt	1	1	levelreq		20	20																																										0
Ember of Creation	1183	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Frozen Armor	1	1	levelreq		20	20																																										0
Ember of Creation	1184	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Shiver Armor	1	1	levelreq		20	20																																										0
Ember of Creation	1185	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Chilling Armor	1	1	levelreq		20	20																																										0
Ember of Creation	1186	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Zap	1	1	levelreq		20	20																																										0
Ember of Creation	1187	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Telekinesis	1	1	levelreq		20	20																																										0
Ember of Creation	1188	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Warmth	1	1	levelreq		20	20																																										0
Ember of Creation	1189	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Blizzard	1	1	levelreq		20	20																																										0
Ember of Creation	1190	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Glacial Spike	1	1	levelreq		20	20																																										0
Ember of Creation	1191	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Fire Ball	1	1	levelreq		20	20																																										0
Ember of Creation	1192	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Static Field	1	1	levelreq		20	20																																										0
Ember of Creation	1193	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Blaze	1	1	levelreq		20	20																																										0
Ember of Creation	1194	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Fanatic Swing	1	1	levelreq		20	20																																										0
Ember of Creation	1195	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Energy Shield	1	1	levelreq		20	20																																										0
Ember of Creation	1196	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Conduit	1	1	levelreq		20	20																																										0
Ember of Creation	1197	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Enchant	1	1	levelreq		20	20																																										0
Ember of Creation	1198	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Orb of Winter	1	1	levelreq		20	20																																										0
Ember of Creation	1199	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Permafrost	1	1	levelreq		20	20																																										0
Ember of Creation	1200	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Conflagrate	1	1	levelreq		20	20																																										0
Ember of Creation	1201	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Rain of Fire	1	1	levelreq		20	20																																										0
Ember of Creation	1202	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Storm Nexus	1	1	levelreq		20	20																																										0
Ember of Creation	1203	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Meteor Shower	1	1	levelreq		20	20																																										0
Ember of Creation	1204	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Hydra	1	1	levelreq		20	20																																										0
Ember of Creation	1205	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Teleport	1	1	levelreq		20	20																																										0
Ember of Creation	1206	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Power Overwhelming	1	1	levelreq		20	20																																										0
Ember of Creation	1207	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Time Stop	1	1	levelreq		20	20																																										0
Ember of Creation	1208	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Omnipotence	1	1	levelreq		20	20																																										0
Ember of Creation	1209	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Immolation	1	1	levelreq		20	20																																										0
Ember of Creation	1210	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Molten Focus	1	1	levelreq		20	20																																										0
Ember of Creation	1211	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Glacial Focus	1	1	levelreq		20	20																																										0
Ember of Creation	1212	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Static Focus	1	1	levelreq		20	20																																										0
Ember of Creation	1213	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Elemental Fury	1	1	levelreq		20	20																																										0
Ember of Creation	1214	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Bone Armor	1	1	levelreq		20	20																																										0
Ember of Creation	1215	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Skeleton Mastery	1	1	levelreq		20	20																																										0
Ember of Creation	1216	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Weaken	1	1	levelreq		20	20																																										0
Ember of Creation	1217	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Poison Dagger	1	1	levelreq		20	20																																										0
Ember of Creation	1218	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Terror	1	1	levelreq		20	20																																										0
Ember of Creation	1219	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Raise Skeleton	1	1	levelreq		20	20																																										0
Ember of Creation	1220	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Killer Scythe	1	1	levelreq		20	20																																										0
Ember of Creation	1221	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Amplify Damage	1	1	levelreq		20	20																																										0
Ember of Creation	1222	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Teeth	1	1	levelreq		20	20																																										0
Ember of Creation	1223	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Dim Vision	1	1	levelreq		20	20																																										0
Ember of Creation	1224	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Clay Golem	1	1	levelreq		20	20																																										0
Ember of Creation	1225	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Confuse	1	1	levelreq		20	20																																										0
Ember of Creation	1226	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Corpse Explosion	1	1	levelreq		20	20																																										0
Ember of Creation	1227	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Soul Reaper Mastery	1	1	levelreq		20	20																																										0
Ember of Creation	1228	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Iron Maiden	1	1	levelreq		20	20																																										0
Ember of Creation	1229	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Golem Mastery	1	1	levelreq		20	20																																										0
Ember of Creation	1230	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Raise Skeletal Mage	1	1	levelreq		20	20																																										0
Ember of Creation	1231	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Bone Spear	1	1	levelreq		20	20																																										0
Ember of Creation	1232	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	BloodGolem	1	1	levelreq		20	20																																										0
Ember of Creation	1233	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Poison Nova	1	1	levelreq		20	20																																										0
Ember of Creation	1234	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Decrepify	1	1	levelreq		20	20																																										0
Ember of Creation	1235	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Bone Prison	1	1	levelreq		20	20																																										0
Ember of Creation	1236	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	IronGolem	1	1	levelreq		20	20																																										0
Ember of Creation	1237	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Life Tap	1	1	levelreq		20	20																																										0
Ember of Creation	1238	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Summon Resist	1	1	levelreq		20	20																																										0
Ember of Creation	1239	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Bone Spirit	1	1	levelreq		20	20																																										0
Ember of Creation	1240	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	FireGolem	1	1	levelreq		20	20																																										0
Ember of Creation	1241	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Poison Mastery	1	1	levelreq		20	20																																										0
Ember of Creation	1242	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Hells Gate	1	1	levelreq		20	20																																										0
Ember of Creation	1243	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Undead Frenzy	1	1	levelreq		20	20																																										0
Ember of Creation	1244	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Summon Skeleton King	1	1	levelreq		20	20																																										0
Ember of Creation	1245	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Bone Mastery	1	1	levelreq		20	20																																										0
Ember of Creation	1246	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Lower Resist	1	1	levelreq		20	20																																										0
Ember of Creation	1247	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Poison Explosion	1	1	levelreq		20	20																																										0
Ember of Creation	1248	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Sacrificial Offering	1	1	levelreq		20	20																																										0
Ember of Creation	1249	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Arrow of Confession	1	1	levelreq		20	20																																										0
Ember of Creation	1250	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Zeal	1	1	levelreq		20	20																																										0
Ember of Creation	1251	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Prayer	1	1	levelreq		20	20																																										0
Ember of Creation	1252	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Resist Fire	1	1	levelreq		20	20																																										0
Ember of Creation	1253	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Resist Cold	1	1	levelreq		20	20																																										0
Ember of Creation	1254	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Blessed Aim	1	1	levelreq		20	20																																										0
Ember of Creation	1255	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Resist Lightning	1	1	levelreq		20	20																																										0
Ember of Creation	1256	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Sanctuary	1	1	levelreq		20	20																																										0
Ember of Creation	1257	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Thorns	1	1	levelreq		20	20																																										0
Ember of Creation	1258	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Defiance	1	1	levelreq		20	20																																										0
Ember of Creation	1259	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Holy Bolt	1	1	levelreq		20	20																																										0
Ember of Creation	1260	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Holy Fire	1	1	levelreq		20	20																																										0
Ember of Creation	1261	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Charge	1	1	levelreq		20	20																																										0
Ember of Creation	1262	100	1			5	1	100	60	mjw	Jewel		7	100000				emberofcreation	item_gem		item_gem	oskill	Cleansing	1	1	levelreq		20	20																																										0
