Treasure Class	group	level	Picks	Unique	Set	Rare	Magic	NoDrop	Item1	Prob1	Item2	Prob2	Item3	Prob3	Item4	Prob4	Item5	Prob5	Item6	Prob6	Item7	Prob7	Item8	Prob8	Item9	Prob9	Item10	Prob10	*ItemProbSum	*ItemProbTotal	*TreasureClassDropChance	ladder	noAlwaysSpawn	*eol
Labyrinth Of Suffering Citem 5			1	384	512	768	1024	0	"gld,mul=384"	120	EGM Equip Boots Cps 17	72	Endgame Map Valuable	6	Endgame Map Tier 5	5																		0
Endless Abyss Citem 1			1	384	512	768	1024	0	"gld,mul=768"	120	EGM Equip 17	72	Endgame Map Valuable	6	Endgame Map Tier 1	8																		0
Endless Abyss Citem 2			1	384	512	768	1024	0	"gld,mul=768"	120	EGM Equip 17	72	Endgame Map Valuable	6	Endgame Map Tier 2	8																		0
Endless Abyss Citem 3			1	384	512	768	1024	0	"gld,mul=768"	120	EGM Equip 17	72	Endgame Map Valuable	6	Endgame Map Tier 3	7																		0
Endless Abyss Citem 4			1	384	512	768	1024	0	"gld,mul=768"	120	EGM Equip 17	72	Endgame Map Valuable	6	Endgame Map Tier 4	6																		0
Endless Abyss Citem 5			1	384	512	768	1024	0	"gld,mul=768"	120	EGM Equip 17	72	Endgame Map Valuable	6	Endgame Map Tier 5	5																		0
Decaying Depths Citem 1			1	384	512	768	1024	0	"gld,mul=384"	120	EGM Equip Belt Cps 17	72	Endgame Map Valuable	6	Endgame Map Tier 1	8																		0
Decaying Depths Citem 2			1	384	512	768	1024	0	"gld,mul=384"	120	EGM Equip Belt Cps 17	72	Endgame Map Valuable	6	Endgame Map Tier 2	8																		0
Decaying Depths Citem 3			1	384	512	768	1024	0	"gld,mul=384"	120	EGM Equip Belt Cps 17	72	Endgame Map Valuable	6	Endgame Map Tier 3	7																		0
Decaying Depths Citem 4			1	384	512	768	1024	0	"gld,mul=384"	120	EGM Equip Belt Cps 17	72	Endgame Map Valuable	6	Endgame Map Tier 4	6																		0
Decaying Depths Citem 5			1	384	512	768	1024	0	"gld,mul=384"	120	EGM Equip Belt Cps 17	72	Endgame Map Valuable	6	Endgame Map Tier 5	5																		0
Frozen Wastes Citem 1			1	384	512	768	1024	0	"gld,mul=384"	120	EGM Equip Gloves Cps 17	72	Endgame Map Valuable	6	Endgame Map Tier 1	8																		0
Frozen Wastes Citem 2			1	384	512	768	1024	0	"gld,mul=384"	120	EGM Equip Gloves Cps 17	72	Endgame Map Valuable	6	Endgame Map Tier 2	8																		0
Frozen Wastes Citem 3			1	384	512	768	1024	0	"gld,mul=384"	120	EGM Equip Gloves Cps 17	72	Endgame Map Valuable	6	Endgame Map Tier 3	7																		0
Frozen Wastes Citem 4			1	384	512	768	1024	0	"gld,mul=384"	120	EGM Equip Gloves Cps 17	72	Endgame Map Valuable	6	Endgame Map Tier 4	6																		0
Frozen Wastes Citem 5			1	384	512	768	1024	0	"gld,mul=384"	120	EGM Equip Gloves Cps 17	72	Endgame Map Valuable	6	Endgame Map Tier 5	5																		0
Twisted Maze Citem 1			1	384	512	768	1024	0	"gld,mul=384"	120	EGM Equip Helm Cps 17	72	Endgame Map Valuable	6	Endgame Map Tier 1	8																		0
Twisted Maze Citem 2			1	384	512	768	1024	0	"gld,mul=384"	120	EGM Equip Helm Cps 17	72	Endgame Map Valuable	6	Endgame Map Tier 2	8																		0
Twisted Maze Citem 3			1	384	512	768	1024	0	"gld,mul=384"	120	EGM Equip Helm Cps 17	72	Endgame Map Valuable	6	Endgame Map Tier 3	7																		0
Twisted Maze Citem 4			1	384	512	768	1024	0	"gld,mul=384"	120	EGM Equip Helm Cps 17	72	Endgame Map Valuable	6	Endgame Map Tier 4	6																		0
Twisted Maze Citem 5			1	384	512	768	1024	0	"gld,mul=384"	120	EGM Equip Helm Cps 17	72	Endgame Map Valuable	6	Endgame Map Tier 5	5																		0
Cursed Ossuary Citem 1			1	384	512	768	1024	0	"gld,mul=384"	120	EGM Equip Body Armor Cps 17	72	Endgame Map Valuable	6	Endgame Map Tier 1	8																		0
Cursed Ossuary Citem 2			1	384	512	768	1024	0	"gld,mul=384"	120	EGM Equip Body Armor Cps 17	72	Endgame Map Valuable	6	Endgame Map Tier 2	8																		0
Cursed Ossuary Citem 3			1	384	512	768	1024	0	"gld,mul=384"	120	EGM Equip Body Armor Cps 17	72	Endgame Map Valuable	6	Endgame Map Tier 3	7																		0
Cursed Ossuary Citem 4			1	384	512	768	1024	0	"gld,mul=384"	120	EGM Equip Body Armor Cps 17	72	Endgame Map Valuable	6	Endgame Map Tier 4	6																		0
Cursed Ossuary Citem 5			1	384	512	768	1024	0	"gld,mul=384"	120	EGM Equip Body Armor Cps 17	72	Endgame Map Valuable	6	Endgame Map Tier 5	5																		0
Infernal Nexus Citem 1			1	384	512	768	1024	0	"gld,mul=384"	120	EGM Equip Missile Cps 17	72	Endgame Map Valuable Gem Bias	6	Endgame Map Tier 1	8																		0
Infernal Nexus Citem 2			1	384	512	768	1024	0	"gld,mul=384"	120	EGM Equip Missile Cps 17	72	Endgame Map Valuable Gem Bias	6	Endgame Map Tier 2	8																		0
Infernal Nexus Citem 3			1	384	512	768	1024	0	"gld,mul=384"	120	EGM Equip Missile Cps 17	72	Endgame Map Valuable Gem Bias	6	Endgame Map Tier 3	7																		0
Infernal Nexus Citem 4			1	384	512	768	1024	0	"gld,mul=384"	120	EGM Equip Missile Cps 17	72	Endgame Map Valuable Gem Bias	6	Endgame Map Tier 4	6																		0
Infernal Nexus Citem 5			1	384	512	768	1024	0	"gld,mul=384"	120	EGM Equip Missile Cps 17	72	Endgame Map Valuable Gem Bias	6	Endgame Map Tier 5	5																		0
Reliquary of Souls Citem 1			1	384	512	768	1024	0	"gld,mul=384"	120	EGM Equip Jewelry Cps 17	72	Endgame Map Valuable Rune Bias	6	Endgame Map Tier 1	8																		0
Reliquary of Souls Citem 2			1	384	512	768	1024	0	"gld,mul=384"	120	EGM Equip Jewelry Cps 17	72	Endgame Map Valuable Rune Bias	6	Endgame Map Tier 2	8																		0
Reliquary of Souls Citem 3			1	384	512	768	1024	0	"gld,mul=384"	120	EGM Equip Jewelry Cps 17	72	Endgame Map Valuable Rune Bias	6	Endgame Map Tier 3	7																		0
Reliquary of Souls Citem 4			1	384	512	768	1024	0	"gld,mul=384"	120	EGM Equip Jewelry Cps 17	72	Endgame Map Valuable Rune Bias	6	Endgame Map Tier 4	6																		0
Reliquary of Souls Citem 5			1	384	512	768	1024	0	"gld,mul=384"	120	EGM Equip Jewelry Cps 17	72	Endgame Map Valuable Rune Bias	6	Endgame Map Tier 5	5																		0
Shrine of Destruction Citem 1			1	384	512	768	1024	0	"gld,mul=384"	120	EGM Equip Class Items Cps 17	72	Endgame Map Valuable Dragon Stone Bias	6	Endgame Map Tier 1	8																		0
Shrine of Destruction Citem 2			1	384	512	768	1024	0	"gld,mul=384"	120	EGM Equip Class Items Cps 17	72	Endgame Map Valuable Dragon Stone Bias	6	Endgame Map Tier 2	8																		0
Shrine of Destruction Citem 3			1	384	512	768	1024	0	"gld,mul=384"	120	EGM Equip Class Items Cps 17	72	Endgame Map Valuable Dragon Stone Bias	6	Endgame Map Tier 3	7																		0
Shrine of Destruction Citem 4			1	384	512	768	1024	0	"gld,mul=384"	120	EGM Equip Class Items Cps 17	72	Endgame Map Valuable Dragon Stone Bias	6	Endgame Map Tier 4	6																		0
Shrine of Destruction Citem 5			1	384	512	768	1024	0	"gld,mul=384"	120	EGM Equip Class Items Cps 17	72	Endgame Map Valuable Dragon Stone Bias	6	Endgame Map Tier 5	5																		0
Cellar Of Pain Bias (Champ) 1	59	100	-2					0	Cellar Of Pain Citem 1	1	Endgame Map Potion	1																						0
Cellar Of Pain Bias (Champ) 2	59	102	-2					0	Cellar Of Pain Citem 2	1	Endgame Map Potion	1																						0
Cellar Of Pain Bias (Champ) 3	59	104	-2					0	Cellar Of Pain Citem 3	1	Endgame Map Potion	1																						0
Cellar Of Pain Bias (Champ) 4	59	106	-2					0	Cellar Of Pain Citem 4	1	Endgame Map Potion	1																						0
Cellar Of Pain Bias (Champ) 5	59	108	-2					0	Cellar Of Pain Citem 5	1	Endgame Map Potion	1																						0
Chasm Of Horror Bias (Champ) 1	60	100	-2					0	Chasm Of Horror Citem 1	1	Endgame Map Potion	1																						0
Chasm Of Horror Bias (Champ) 2	60	102	-2					0	Chasm Of Horror Citem 2	1	Endgame Map Potion	1																						0
Chasm Of Horror Bias (Champ) 3	60	104	-2					0	Chasm Of Horror Citem 3	1	Endgame Map Potion	1																						0
Chasm Of Horror Bias (Champ) 4	60	106	-2					0	Chasm Of Horror Citem 4	1	Endgame Map Potion	1																						0
Chasm Of Horror Bias (Champ) 5	60	108	-2					0	Chasm Of Horror Citem 5	1	Endgame Map Potion	1																						0
Crypt Of Damnation Bias (Champ) 1	61	100	-2					0	Crypt Of Damnation Citem 1	1	Endgame Map Potion	1																						0
Crypt Of Damnation Bias (Champ) 2	61	102	-2					0	Crypt Of Damnation Citem 2	1	Endgame Map Potion	1																						0
Crypt Of Damnation Bias (Champ) 3	61	104	-2					0	Crypt Of Damnation Citem 3	1	Endgame Map Potion	1																						0
Crypt Of Damnation Bias (Champ) 4	61	106	-2					0	Crypt Of Damnation Citem 4	1	Endgame Map Potion	1																						0
Crypt Of Damnation Bias (Champ) 5	61	108	-2					0	Crypt Of Damnation Citem 5	1	Endgame Map Potion	1																						0
Necropolis Bias (Champ) 1	62	100	-2					0	Necropolis Citem 1	1	Endgame Map Potion	1																						0
Necropolis Bias (Champ) 2	62	102	-2					0	Necropolis Citem 2	1	Endgame Map Potion	1																						0
Necropolis Bias (Champ) 3	62	104	-2					0	Necropolis Citem 3	1	Endgame Map Potion	1																						0
Necropolis Bias (Champ) 4	62	106	-2					0	Necropolis Citem 4	1	Endgame Map Potion	1																						0
Necropolis Bias (Champ) 5	62	108	-2					0	Necropolis Citem 5	1	Endgame Map Potion	1																						0
Ancient Tomb Bias (Champ) 1	63	100	-2					0	Ancient Tomb Citem 1	1	Endgame Map Potion	1																						0
Ancient Tomb Bias (Champ) 2	63	102	-2					0	Ancient Tomb Citem 2	1	Endgame Map Potion	1																						0
Ancient Tomb Bias (Champ) 3	63	104	-2					0	Ancient Tomb Citem 3	1	Endgame Map Potion	1																						0
Ancient Tomb Bias (Champ) 4	63	106	-2					0	Ancient Tomb Citem 4	1	Endgame Map Potion	1																						0
Ancient Tomb Bias (Champ) 5	63	108	-2					0	Ancient Tomb Citem 5	1	Endgame Map Potion	1																						0
Chaos Rift Bias (Champ) 1	64	100	-2					0	Chaos Rift Citem 1	1	Endgame Map Potion	1																						0
Chaos Rift Bias (Champ) 2	64	102	-2					0	Chaos Rift Citem 2	1	Endgame Map Potion	1																						0
Chaos Rift Bias (Champ) 3	64	104	-2					0	Chaos Rift Citem 3	1	Endgame Map Potion	1																						0
Chaos Rift Bias (Champ) 4	64	106	-2					0	Chaos Rift Citem 4	1	Endgame Map Potion	1																						0
Chaos Rift Bias (Champ) 5	64	108	-2					0	Chaos Rift Citem 5	1	Endgame Map Potion	1																						0
Infested Lair Bias (Champ) 1	65	100	-2					0	Infested Lair Citem 1	1	Endgame Map Potion	1																						0
Infested Lair Bias (Champ) 2	65	102	-2					0	Infested Lair Citem 2	1	Endgame Map Potion	1																						0
Infested Lair Bias (Champ) 3	65	104	-2					0	Infested Lair Citem 3	1	Endgame Map Potion	1																						0
Infested Lair Bias (Champ) 4	65	106	-2					0	Infested Lair Citem 4	1	Endgame Map Potion	1																						0
Infested Lair Bias (Champ) 5	65	108	-2					0	Infested Lair Citem 5	1	Endgame Map Potion	1																						0
Labyrinth Of Suffering Bias (Champ) 1	66	100	-2					0	Labyrinth Of Suffering Citem 1	1	Endgame Map Potion	1																						0
Labyrinth Of Suffering Bias (Champ) 2	66	102	-2					0	Labyrinth Of Suffering Citem 2	1	Endgame Map Potion	1																						0
Labyrinth Of Suffering Bias (Champ) 3	66	104	-2					0	Labyrinth Of Suffering Citem 3	1	Endgame Map Potion	1																						0
Labyrinth Of Suffering Bias (Champ) 4	66	106	-2					0	Labyrinth Of Suffering Citem 4	1	Endgame Map Potion	1																						0
Labyrinth Of Suffering Bias (Champ) 5	66	108	-2					0	Labyrinth Of Suffering Citem 5	1	Endgame Map Potion	1																						0
Endless Abyss Bias (Champ) 1	66	100	-2					0	Endless Abyss Citem 1	1	Endgame Map Potion	1																						0
Endless Abyss Bias (Champ) 2	66	102	-2					0	Endless Abyss Citem 2	1	Endgame Map Potion	1																						0
Endless Abyss Bias (Champ) 3	66	104	-2					0	Endless Abyss Citem 3	1	Endgame Map Potion	1																						0
Endless Abyss Bias (Champ) 4	66	106	-2					0	Endless Abyss Citem 4	1	Endgame Map Potion	1																						0
Endless Abyss Bias (Champ) 5	66	108	-2					0	Endless Abyss Citem 5	1	Endgame Map Potion	1																						0
Decaying Depths Bias (Champ) 1	67	100	-2					0	Decaying Depths Citem 1	1	Endgame Map Potion	1																						0
Decaying Depths Bias (Champ) 2	67	102	-2					0	Decaying Depths Citem 2	1	Endgame Map Potion	1																						0
Decaying Depths Bias (Champ) 3	67	104	-2					0	Decaying Depths Citem 3	1	Endgame Map Potion	1																						0
Decaying Depths Bias (Champ) 4	67	106	-2					0	Decaying Depths Citem 4	1	Endgame Map Potion	1																						0
Decaying Depths Bias (Champ) 5	67	108	-2					0	Decaying Depths Citem 5	1	Endgame Map Potion	1																						0
Frozen Wastes Bias (Champ) 1	68	100	-2					0	Frozen Wastes Citem 1	1	Endgame Map Potion	1																						0
Frozen Wastes Bias (Champ) 2	68	102	-2					0	Frozen Wastes Citem 2	1	Endgame Map Potion	1																						0
Frozen Wastes Bias (Champ) 3	68	104	-2					0	Frozen Wastes Citem 3	1	Endgame Map Potion	1																						0
Frozen Wastes Bias (Champ) 4	68	106	-2					0	Frozen Wastes Citem 4	1	Endgame Map Potion	1																						0
Frozen Wastes Bias (Champ) 5	68	108	-2					0	Frozen Wastes Citem 5	1	Endgame Map Potion	1																						0
Twisted Maze Bias (Champ) 1	69	100	-2					0	Twisted Maze Citem 1	1	Endgame Map Potion	1																						0
Twisted Maze Bias (Champ) 2	69	102	-2					0	Twisted Maze Citem 2	1	Endgame Map Potion	1																						0
Twisted Maze Bias (Champ) 3	69	104	-2					0	Twisted Maze Citem 3	1	Endgame Map Potion	1																						0
Twisted Maze Bias (Champ) 4	69	106	-2					0	Twisted Maze Citem 4	1	Endgame Map Potion	1																						0
Twisted Maze Bias (Champ) 5	69	108	-2					0	Twisted Maze Citem 5	1	Endgame Map Potion	1																						0
Cursed Ossuary Bias (Champ) 1	70	100	-2					0	Cursed Ossuary Citem 1	1	Endgame Map Potion	1																						0
Cursed Ossuary Bias (Champ) 2	70	102	-2					0	Cursed Ossuary Citem 2	1	Endgame Map Potion	1																						0
Cursed Ossuary Bias (Champ) 3	70	104	-2					0	Cursed Ossuary Citem 3	1	Endgame Map Potion	1																						0
Cursed Ossuary Bias (Champ) 4	70	106	-2					0	Cursed Ossuary Citem 4	1	Endgame Map Potion	1																						0
Cursed Ossuary Bias (Champ) 5	70	108	-2					0	Cursed Ossuary Citem 5	1	Endgame Map Potion	1																						0
Infernal Nexus Bias (Champ) 1	71	100	-2					0	Infernal Nexus Citem 1	1	Endgame Map Potion	1																						0
Infernal Nexus Bias (Champ) 2	71	102	-2					0	Infernal Nexus Citem 2	1	Endgame Map Potion	1																						0
Infernal Nexus Bias (Champ) 3	71	104	-2					0	Infernal Nexus Citem 3	1	Endgame Map Potion	1																						0
Infernal Nexus Bias (Champ) 4	71	106	-2					0	Infernal Nexus Citem 4	1	Endgame Map Potion	1																						0
Infernal Nexus Bias (Champ) 5	71	108	-2					0	Infernal Nexus Citem 5	1	Endgame Map Potion	1																						0
Reliquary of Souls Bias (Champ) 1	72	100	-2					0	Reliquary of Souls Citem 1	1	Endgame Map Potion	1																						0
Reliquary of Souls Bias (Champ) 2	72	102	-2					0	Reliquary of Souls Citem 2	1	Endgame Map Potion	1																						0
Reliquary of Souls Bias (Champ) 3	72	104	-2					0	Reliquary of Souls Citem 3	1	Endgame Map Potion	1																						0
Reliquary of Souls Bias (Champ) 4	72	106	-2					0	Reliquary of Souls Citem 4	1	Endgame Map Potion	1																						0
Reliquary of Souls Bias (Champ) 5	72	108	-2					0	Reliquary of Souls Citem 5	1	Endgame Map Potion	1																						0
Shrine of Destruction Bias (Champ) 1	73	100	-2					0	Shrine of Destruction Citem 1	1	Endgame Map Potion	1																						0
Shrine of Destruction Bias (Champ) 2	73	102	-2					0	Shrine of Destruction Citem 2	1	Endgame Map Potion	1																						0
Shrine of Destruction Bias (Champ) 3	73	104	-2					0	Shrine of Destruction Citem 3	1	Endgame Map Potion	1																						0
Shrine of Destruction Bias (Champ) 4	73	106	-2					0	Shrine of Destruction Citem 4	1	Endgame Map Potion	1																						0
Shrine of Destruction Bias (Champ) 5	73	108	-2					0	Shrine of Destruction Citem 5	1	Endgame Map Potion	1																						0
Cellar Of Pain Uitem 1			1	512	614	820	1024	0	Rune JP (H)	1	Coupon JP (H)	1	Charm JP	1	EGM Equip Club And Hammer Cps 17	186	Endgame Map Valuable	14	Endgame Map Tier 1	6														0
Cellar Of Pain Uitem 2			1	512	614	820	1024	0	Rune JP (H)	1	Coupon JP (H)	1	Charm JP	1	EGM Equip Club And Hammer Cps 17	186	Endgame Map Valuable	14	Endgame Map Tier 2	6														0
Cellar Of Pain Uitem 3			1	512	614	820	1024	0	Rune JP (H)	1	Coupon JP (H)	1	Charm JP	1	EGM Equip Club And Hammer Cps 17	186	Endgame Map Valuable	14	Endgame Map Tier 3	5														0
Cellar Of Pain Uitem 4			1	512	614	820	1024	0	Rune JP (H)	1	Coupon JP (H)	1	Charm JP	1	EGM Equip Club And Hammer Cps 17	186	Endgame Map Valuable	14	Endgame Map Tier 4	5														0
Cellar Of Pain Uitem 5			1	512	614	820	1024	0	Rune JP (H)	1	Coupon JP (H)	1	Charm JP	1	EGM Equip Club And Hammer Cps 17	186	Endgame Map Valuable	14	Endgame Map Tier 5	4														0
Chasm Of Horror Uitem 1			1	512	614	820	1024	0	Rune JP (H)	1	Coupon JP (H)	1	Charm JP	1	EGM Equip Polearm And Spear Cps 17	186	Endgame Map Valuable	14	Endgame Map Tier 1	6														0
Chasm Of Horror Uitem 2			1	512	614	820	1024	0	Rune JP (H)	1	Coupon JP (H)	1	Charm JP	1	EGM Equip Polearm And Spear Cps 17	186	Endgame Map Valuable	14	Endgame Map Tier 2	6														0
Chasm Of Horror Uitem 3			1	512	614	820	1024	0	Rune JP (H)	1	Coupon JP (H)	1	Charm JP	1	EGM Equip Polearm And Spear Cps 17	186	Endgame Map Valuable	14	Endgame Map Tier 3	5														0
Chasm Of Horror Uitem 4			1	512	614	820	1024	0	Rune JP (H)	1	Coupon JP (H)	1	Charm JP	1	EGM Equip Polearm And Spear Cps 17	186	Endgame Map Valuable	14	Endgame Map Tier 4	5														0
Chasm Of Horror Uitem 5			1	512	614	820	1024	0	Rune JP (H)	1	Coupon JP (H)	1	Charm JP	1	EGM Equip Polearm And Spear Cps 17	186	Endgame Map Valuable	14	Endgame Map Tier 5	4														0
Crypt Of Damnation Uitem 1			1	512	614	820	1024	0	Rune JP (H)	1	Coupon JP (H)	1	Charm JP	1	EGM Equip Axe And Knife Cps 17	186	Endgame Map Valuable	14	Endgame Map Tier 1	6														0
Crypt Of Damnation Uitem 2			1	512	614	820	1024	0	Rune JP (H)	1	Coupon JP (H)	1	Charm JP	1	EGM Equip Axe And Knife Cps 17	186	Endgame Map Valuable	14	Endgame Map Tier 2	6														0
Crypt Of Damnation Uitem 3			1	512	614	820	1024	0	Rune JP (H)	1	Coupon JP (H)	1	Charm JP	1	EGM Equip Axe And Knife Cps 17	186	Endgame Map Valuable	14	Endgame Map Tier 3	5														0
Crypt Of Damnation Uitem 4			1	512	614	820	1024	0	Rune JP (H)	1	Coupon JP (H)	1	Charm JP	1	EGM Equip Axe And Knife Cps 17	186	Endgame Map Valuable	14	Endgame Map Tier 4	5														0
Crypt Of Damnation Uitem 5			1	512	614	820	1024	0	Rune JP (H)	1	Coupon JP (H)	1	Charm JP	1	EGM Equip Axe And Knife Cps 17	186	Endgame Map Valuable	14	Endgame Map Tier 5	4														0
Necropolis Uitem 1			1	512	614	820	1024	0	Rune JP (H)	1	Coupon JP (H)	1	Charm JP	1	EGM Equip Scepter And Mace Cps 17	186	Endgame Map Valuable	14	Endgame Map Tier 1	6														0
Necropolis Uitem 2			1	512	614	820	1024	0	Rune JP (H)	1	Coupon JP (H)	1	Charm JP	1	EGM Equip Scepter And Mace Cps 17	186	Endgame Map Valuable	14	Endgame Map Tier 2	6														0
Necropolis Uitem 3			1	512	614	820	1024	0	Rune JP (H)	1	Coupon JP (H)	1	Charm JP	1	EGM Equip Scepter And Mace Cps 17	186	Endgame Map Valuable	14	Endgame Map Tier 3	5														0
Necropolis Uitem 4			1	512	614	820	1024	0	Rune JP (H)	1	Coupon JP (H)	1	Charm JP	1	EGM Equip Scepter And Mace Cps 17	186	Endgame Map Valuable	14	Endgame Map Tier 4	5														0
Necropolis Uitem 5			1	512	614	820	1024	0	Rune JP (H)	1	Coupon JP (H)	1	Charm JP	1	EGM Equip Scepter And Mace Cps 17	186	Endgame Map Valuable	14	Endgame Map Tier 5	4														0
Ancient Tomb Uitem 1			1	512	614	820	1024	0	Rune JP (H)	1	Coupon JP (H)	1	Charm JP	1	EGM Equip Caster Weapon Cps 17	186	Endgame Map Valuable	14	Endgame Map Tier 1	6														0
Ancient Tomb Uitem 2			1	512	614	820	1024	0	Rune JP (H)	1	Coupon JP (H)	1	Charm JP	1	EGM Equip Caster Weapon Cps 17	186	Endgame Map Valuable	14	Endgame Map Tier 2	6														0
Ancient Tomb Uitem 3			1	512	614	820	1024	0	Rune JP (H)	1	Coupon JP (H)	1	Charm JP	1	EGM Equip Caster Weapon Cps 17	186	Endgame Map Valuable	14	Endgame Map Tier 3	5														0
Ancient Tomb Uitem 4			1	512	614	820	1024	0	Rune JP (H)	1	Coupon JP (H)	1	Charm JP	1	EGM Equip Caster Weapon Cps 17	186	Endgame Map Valuable	14	Endgame Map Tier 4	5														0
Ancient Tomb Uitem 5			1	512	614	820	1024	0	Rune JP (H)	1	Coupon JP (H)	1	Charm JP	1	EGM Equip Caster Weapon Cps 17	186	Endgame Map Valuable	14	Endgame Map Tier 5	4														0
Chaos Rift Uitem 1			1	512	614	820	1024	0	Rune JP (H)	1	Coupon JP (H)	1	Charm JP	1	EGM Equip Throwing Weapon Cps 17	186	Endgame Map Valuable	14	Endgame Map Tier 1	6														0
Chaos Rift Uitem 2			1	512	614	820	1024	0	Rune JP (H)	1	Coupon JP (H)	1	Charm JP	1	EGM Equip Throwing Weapon Cps 17	186	Endgame Map Valuable	14	Endgame Map Tier 2	6														0
Chaos Rift Uitem 3			1	512	614	820	1024	0	Rune JP (H)	1	Coupon JP (H)	1	Charm JP	1	EGM Equip Throwing Weapon Cps 17	186	Endgame Map Valuable	14	Endgame Map Tier 3	5														0
Chaos Rift Uitem 4			1	512	614	820	1024	0	Rune JP (H)	1	Coupon JP (H)	1	Charm JP	1	EGM Equip Throwing Weapon Cps 17	186	Endgame Map Valuable	14	Endgame Map Tier 4	5														0
Chaos Rift Uitem 5			1	512	614	820	1024	0	Rune JP (H)	1	Coupon JP (H)	1	Charm JP	1	EGM Equip Throwing Weapon Cps 17	186	Endgame Map Valuable	14	Endgame Map Tier 5	4														0
Infested Lair Uitem 1			1	512	614	820	1024	0	Rune JP (H)	1	Coupon JP (H)	1	Charm JP	1	EGM Equip Shield And Sword Cps 17	186	Endgame Map Valuable	14	Endgame Map Tier 1	6														0
Infested Lair Uitem 2			1	512	614	820	1024	0	Rune JP (H)	1	Coupon JP (H)	1	Charm JP	1	EGM Equip Shield And Sword Cps 17	186	Endgame Map Valuable	14	Endgame Map Tier 2	6														0
Infested Lair Uitem 3			1	512	614	820	1024	0	Rune JP (H)	1	Coupon JP (H)	1	Charm JP	1	EGM Equip Shield And Sword Cps 17	186	Endgame Map Valuable	14	Endgame Map Tier 3	5														0
Infested Lair Uitem 4			1	512	614	820	1024	0	Rune JP (H)	1	Coupon JP (H)	1	Charm JP	1	EGM Equip Shield And Sword Cps 17	186	Endgame Map Valuable	14	Endgame Map Tier 4	5														0
Infested Lair Uitem 5			1	512	614	820	1024	0	Rune JP (H)	1	Coupon JP (H)	1	Charm JP	1	EGM Equip Shield And Sword Cps 17	186	Endgame Map Valuable	14	Endgame Map Tier 5	4														0
Labyrinth Of Suffering Uitem 1			1	512	614	820	1024	0	Rune JP (H)	1	Coupon JP (H)	1	Charm JP	1	EGM Equip Boots Cps 17	186	Endgame Map Valuable	14	Endgame Map Tier 1	6														0
Labyrinth Of Suffering Uitem 2			1	512	614	820	1024	0	Rune JP (H)	1	Coupon JP (H)	1	Charm JP	1	EGM Equip Boots Cps 17	186	Endgame Map Valuable	14	Endgame Map Tier 2	6														0
Labyrinth Of Suffering Uitem 3			1	512	614	820	1024	0	Rune JP (H)	1	Coupon JP (H)	1	Charm JP	1	EGM Equip Boots Cps 17	186	Endgame Map Valuable	14	Endgame Map Tier 3	5														0
Labyrinth Of Suffering Uitem 4			1	512	614	820	1024	0	Rune JP (H)	1	Coupon JP (H)	1	Charm JP	1	EGM Equip Boots Cps 17	186	Endgame Map Valuable	14	Endgame Map Tier 4	5														0
Labyrinth Of Suffering Uitem 5			1	512	614	820	1024	0	Rune JP (H)	1	Coupon JP (H)	1	Charm JP	1	EGM Equip Boots Cps 17	186	Endgame Map Valuable	14	Endgame Map Tier 5	4														0
Endless Abyss Uitem 1			1	512	614	820	1024	0	Rune JP (H)	1	Coupon JP (H)	1	Charm JP	1	EGM Equip 17	186	Endgame Map Valuable	14	Endgame Map Tier 1	6														0
Endless Abyss Uitem 2			1	512	614	820	1024	0	Rune JP (H)	1	Coupon JP (H)	1	Charm JP	1	EGM Equip 17	186	Endgame Map Valuable	14	Endgame Map Tier 2	6														0
Endless Abyss Uitem 3			1	512	614	820	1024	0	Rune JP (H)	1	Coupon JP (H)	1	Charm JP	1	EGM Equip 17	186	Endgame Map Valuable	14	Endgame Map Tier 3	5														0
Endless Abyss Uitem 4			1	512	614	820	1024	0	Rune JP (H)	1	Coupon JP (H)	1	Charm JP	1	EGM Equip 17	186	Endgame Map Valuable	14	Endgame Map Tier 4	5														0
Endless Abyss Uitem 5			1	512	614	820	1024	0	Rune JP (H)	1	Coupon JP (H)	1	Charm JP	1	EGM Equip 17	186	Endgame Map Valuable	14	Endgame Map Tier 5	4														0
Decaying Depths Uitem 1			1	512	614	820	1024	0	Rune JP (H)	1	Coupon JP (H)	1	Charm JP	1	EGM Equip Belt Cps 17	186	Endgame Map Valuable	14	Endgame Map Tier 1	6														0
Decaying Depths Uitem 2			1	512	614	820	1024	0	Rune JP (H)	1	Coupon JP (H)	1	Charm JP	1	EGM Equip Belt Cps 17	186	Endgame Map Valuable	14	Endgame Map Tier 2	6														0
Decaying Depths Uitem 3			1	512	614	820	1024	0	Rune JP (H)	1	Coupon JP (H)	1	Charm JP	1	EGM Equip Belt Cps 17	186	Endgame Map Valuable	14	Endgame Map Tier 3	5														0
Decaying Depths Uitem 4			1	512	614	820	1024	0	Rune JP (H)	1	Coupon JP (H)	1	Charm JP	1	EGM Equip Belt Cps 17	186	Endgame Map Valuable	14	Endgame Map Tier 4	5														0
Decaying Depths Uitem 5			1	512	614	820	1024	0	Rune JP (H)	1	Coupon JP (H)	1	Charm JP	1	EGM Equip Belt Cps 17	186	Endgame Map Valuable	14	Endgame Map Tier 5	4														0
